dtstart,dtend,uid,description,salle
2023-10-10T08:00:00Z,2023-10-10T11:00:00Z,Cours-5403-16-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 4 APPLICATION DE MSI\nEnseignant : MARTIN Yannis\nTD : M1-ILSEN-cla-Gr1\nSalle : Stat 1 = Info - C 137\nType : TP\n,Stat 1 = Info - C 137
2023-09-13T14:00:00Z,2023-09-13T15:30:00Z,Cours-5407-12-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 1 DESIGN PATTERN AVANCE\nEnseignant : NABITZ Sophie\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1\nSalle : Amphi Ada\nType : CM\n",Amphi Ada
2023-09-20T14:00:00Z,2023-09-20T17:00:00Z,Cours-5422-13-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 1 DESIGN PATTERN AVANCE\nEnseignant : NABITZ Sophie\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1\nSalle : Amphi Blaise\nType : CM\n",Amphi Blaise
2023-10-18T14:00:00Z,2023-10-18T15:30:00Z,Cours-5444-17-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 ARCHITECTURES WEB\nEnseignant : FREDOUILLE Corinne\nTD : M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2\nSalle : Stat 2 = Info - C 136\nType : TP\n",Stat 2 = Info - C 136
2023-11-08T12:00:00Z,2023-11-08T15:00:00Z,Cours-5451-20-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 DESIGN PATTERN AVANCE\nEnseignant : NABITZ Sophie\nTD : M1-ILSEN-cla-Gr1\nSalle : Stat9 = Info - C 026\nType : TP\n,Stat9 = Info - C 026
2023-11-15T12:00:00Z,2023-11-15T15:00:00Z,Cours-5451-21-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 DESIGN PATTERN AVANCE\nEnseignant : NABITZ Sophie\nTD : M1-ILSEN-cla-Gr1\nSalle : Stat9 = Info - C 026\nType : TP\n,Stat9 = Info - C 026
2023-09-14T06:30:00Z,2023-09-14T09:30:00Z,Cours-5499-12-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 PROGRAMMATION PARALLELE\nEnseignant : LABRAK Yanis\nTD : M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2\nSalle : Stat 1 = Info - C 137\nType : TP\n",Stat 1 = Info - C 137
2023-09-21T12:30:00Z,2023-09-21T14:00:00Z,Cours-5500-13-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 ARCHITECTURES WEB\nEnseignant : FREDOUILLE Corinne\nTD : M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Ada\nType : CM\n",Amphi Ada
2023-09-13T15:30:00Z,2023-09-13T17:00:00Z,Cours-5501-12-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 ARCHITECTURES WEB\nEnseignant : FREDOUILLE Corinne\nTD : M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Ada\nType : CM\n",Amphi Ada
2023-10-17T06:30:00Z,2023-10-17T09:30:00Z,Cours-5522-17-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 2 PROGRAMMATION PARALLELE\nEnseignant : PELERIN Aurelien\nTD : M1-ILSEN-cla-Gr1\nSalle : Stat 5 = Info - C 130\nType : TP\n,Stat 5 = Info - C 130
2023-10-13T06:30:00Z,2023-10-13T09:30:00Z,Cours-5526-16-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 2 PROGRAMMATION PARALLELE\nEnseignant : PELERIN Aurelien\nTD : M1-ILSEN-cla-Gr1\nSalle : Stat 6 = Info - C 129\nType : TP\n,Stat 6 = Info - C 129
2023-09-13T08:00:00Z,2023-09-13T09:30:00Z,Cours-5529-12-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 3 URBANISATION\nEnseignant : ROUVIER Mickael\nTD : M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2\nSalle : S5 = C 024\nType : CM\n",S5 = C 024
