dtstart,dtend,uid,description,salle
2024-01-11T07:00:00Z,2024-01-11T16:30:00Z,Cours-2658-29-M1-IA-IL-CLA-Index-Education,"Matiere : Reservation de salles\nEnseignants : BENSLIMANE Abderrahim, COSTA Jean-pierre, DE PELLEGRINI Francesco, ELAZOUZI Rachid, ESTEVE Yannick, FIGUEIREDO Rosa, FREDOUILLE Corinne, GILLES Philippe, GOZLAN Philippe, GUEYE Serigne, HADDAD Majed, HAYEL Yezekael, HUET Stephane, JABAIAN Bassam, JOURLIN Pierre, LABATUT Vincent, LEFEVRE Fabrice, MATROUF Driss, NOCERA Pascal, ROUVIER Mickael, SPRIET Thierry, TORRES MORENO Juan manuel, VERNET Mathilde, ZHOU Fen\nPromotions : M1 INGE DU LOGICIEL DE LA SOCIETE NUM (ILSEN), M1 INTELLIGENCE ARTIFICIELLE (IA), M1 SYSTEMES INFORMATIQUES COMMUNICANTS (SICOM), M2 INGE DU LOGICIEL DE LA SOCIETE NUM (ILSEN), M2 INTELLIGENCE ARTIFICIELLE (IA), M2 SYSTEMES INFORMATIQUES COMMUNICANTS (SICOM)\nTD : L3INFO_TD5 ALT, L3INFO_TD6 ALT\nSalles : Amphi Ada, Amphi Blaise, S1 = C 042 Nodes, S2 = C 040, S2 BIS = C 038, S3 = C 036, S4 = C 034, S5 = C 024, S6 = C 022, S7 = C 032, S8 = C 030\nMemo : soutenance alternance\n","Amphi Ada, Amphi Blaise, S1 = C 042 Nodes, S2 = C 040, S2 BIS = C 038, S3 = C 036, S4 = C 034, S5 = C 024, S6 = C 022, S7 = C 032, S8 = C 030"
2023-09-11T14:00:00Z,2023-09-11T17:00:00Z,Cours-37266-12-M1-IA-IL-CLA-Index-Education,Matiere : Reservation de salles\nEnseignant : LABATUT Vincent\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S2 = C 040\nMemo : Entretiens individuels\n,S2 = C 040
2024-05-14T06:00:00Z,2024-05-14T18:00:00Z,Cours-40436-47-M1-IA-IL-CLA-Index-Education,"Matiere : Reservation de salles\nEnseignants : BEILLON Jennifer, HUET Stephane\nPromotions : L2 INFORMATIQUE, L3 INFORMATIQUE, M1 INGE DU LOGICIEL DE LA SOCIETE NUM (ILSEN), M1 INTELLIGENCE ARTIFICIELLE (IA), M1 SYSTEMES INFORMATIQUES COMMUNICANTS (SICOM)\nTD : OCCA CV 5\nSalles : Amphi Ada, Amphi Blaise, S1 = C 042 Nodes, S2 = C 040, S2 BIS = C 038, S3 = C 036, S4 = C 034, S5 = C 024, S6 = C 022, S7 = C 032, S8 = C 030, Stat 1 = Info - C 137, Stat 6 = Info - C 129, Stat 7 = Info - C 128\nMemo : salon alternance 2024\n","Amphi Ada, Amphi Blaise, S1 = C 042 Nodes, S2 = C 040, S2 BIS = C 038, S3 = C 036, S4 = C 034, S5 = C 024, S6 = C 022, S7 = C 032, S8 = C 030, Stat 1 = Info - C 137, Stat 6 = Info - C 129, Stat 7 = Info - C 128"
2024-03-07T16:30:00Z,2024-03-07T18:00:00Z,Cours-76155-37-M1-IA-IL-CLA-Index-Education,Matiere : UCE 2 APPROCHES NEURONALES\nEnseignant : TORRES MORENO Juan manuel\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S5 = C 024\nType : Evaluation\n,S5 = C 024
2024-02-16T12:00:00Z,2024-02-16T13:30:00Z,Cours-46640-34-M1-IA-IL-CLA-Index-Education,"Matiere : Reservation de salles\nEnseignant : FIGUEIREDO Rosa\nPromotions : L1 INFORMATIQUE, L2 INFORMATIQUE, L3 INFORMATIQUE, M1 INGE DU LOGICIEL DE LA SOCIETE NUM (ILSEN), M1 INTELLIGENCE ARTIFICIELLE (IA), M1 SYSTEMES INFORMATIQUES COMMUNICANTS (SICOM), M2 INGE DU LOGICIEL DE LA SOCIETE NUM (ILSEN), M2 INTELLIGENCE ARTIFICIELLE (IA), M2 SYSTEMES INFORMATIQUES COMMUNICANTS (SICOM)\nTD : OCCA CV 5\nSalle : Amphi Blaise\nMemo : semaine femmes en sciences\n",Amphi Blaise
2024-04-18T06:00:00Z,2024-04-18T18:00:00Z,Cours-53590-43-M1-IA-IL-CLA-Index-Education,"Matiere : Reservation de salles\nPromotions : M1 INGE DU LOGICIEL DE LA SOCIETE NUM (ILSEN), M1 INTELLIGENCE ARTIFICIELLE (IA), M1 SYSTEMES INFORMATIQUES COMMUNICANTS (SICOM)\nMemo : Voyage scolaire\n",
2024-04-19T06:00:00Z,2024-04-19T18:00:00Z,Cours-53592-43-M1-IA-IL-CLA-Index-Education,"Matiere : Reservation de salles\nPromotions : M1 INGE DU LOGICIEL DE LA SOCIETE NUM (ILSEN), M1 INTELLIGENCE ARTIFICIELLE (IA), M1 SYSTEMES INFORMATIQUES COMMUNICANTS (SICOM)\nMemo : Voyage scolaire\n",
2024-05-17T15:30:00Z,2024-05-17T17:00:00Z,Cours-53808-47-M1-IA-IL-CLA-Index-Education,"Matiere : UCE 2 ANGLAIS (ORIENTE TECHNI\nEnseignant : RONDIN Lilian\nPromotions : M1 INGE DU LOGICIEL DE LA SOCIETE NUM (ILSEN), M1 INTELLIGENCE ARTIFICIELLE (IA), M1 SYSTEMES INFORMATIQUES COMMUNICANTS (SICOM)\nSalle : Amphi Blaise\nType : Evaluation\n",Amphi Blaise
2024-03-22T13:30:00Z,2024-03-22T15:00:00Z,Cours-53809-39-M1-IA-IL-CLA-Index-Education,"Matiere : UCE 2 ANGLAIS (ORIENTE TECHNI\nEnseignant : RONDIN Lilian\nPromotions : M1 INGE DU LOGICIEL DE LA SOCIETE NUM (ILSEN), M1 INTELLIGENCE ARTIFICIELLE (IA), M1 SYSTEMES INFORMATIQUES COMMUNICANTS (SICOM)\nSalle : Amphi Blaise\nType : Evaluation\n",Amphi Blaise
2024-02-16T13:30:00Z,2024-02-16T15:00:00Z,Cours-71065-34-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 MODELES STOCHASTIQUES\nEnseignant : HAYEL Yezekael\nPromotion : M1 INTELLIGENCE ARTIFICIELLE (IA)\nSalle : S6 = C 022\nType : CM\n,S6 = C 022
