dtstart,dtend,uid,salle,Matiere,Enseignants,Type,Memo,Formation
2023-09-12T15:30:00Z,2023-09-12T17:00:00Z,Cours-5127-12-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-09-18T08:00:00Z,2023-09-18T09:30:00Z,Cours-5131-13-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-10-09T09:30:00Z,2023-10-09T11:00:00Z,Cours-5132-16-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-10-13T09:30:00Z,2023-10-13T11:00:00Z,Cours-5137-16-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-10-26T14:00:00Z,2023-10-26T15:30:00Z,Cours-5140-18-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-11-06T10:30:00Z,2023-11-06T12:00:00Z,Cours-5145-20-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-11-13T09:00:00Z,2023-11-13T10:30:00Z,Cours-5149-21-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-11-28T10:30:00Z,2023-11-28T12:00:00Z,Cours-5153-23-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-12-11T09:00:00Z,2023-12-11T10:30:00Z,Cours-5157-25-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-11-20T07:30:00Z,2023-11-20T09:00:00Z,Cours-5161-22-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-11-17T07:30:00Z,2023-11-17T09:00:00Z,Cours-5232-21-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,Evaluation,,ILSEN-CLA
2024-01-12T15:00:00Z,2024-01-12T16:30:00Z,Cours-5239-29-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,Evaluation,,ILSEN-CLA
2023-09-21T08:00:00Z,2023-09-21T11:00:00Z,Cours-5241-13-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 MANAGEMENT PAR LES PROC,MARTIN Yannis,CM,,ILSEN-CLA
2023-09-15T08:00:00Z,2023-09-15T11:00:00Z,Cours-5243-12-M1-ILSEN-cla-Gr1-Index-Education,S5 = C 024,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,CM,,ILSEN-CLA
2023-12-12T13:30:00Z,2023-12-12T15:00:00Z,Cours-5246-25-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 2 MANAGEMENT PAR LES PROC,MARTIN Yannis,CM,,ILSEN-CLA
2023-11-06T15:00:00Z,2023-11-06T18:00:00Z,Cours-5248-20-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,CM,,ILSEN-CLA
2023-11-16T10:30:00Z,2023-11-16T12:00:00Z,Cours-5262-21-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,CM,,ILSEN-CLA
2023-12-07T09:00:00Z,2023-12-07T12:00:00Z,Cours-5265-24-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,CM,,ILSEN-CLA
2023-12-12T09:00:00Z,2023-12-12T12:00:00Z,Cours-5271-25-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 MANAGEMENT PAR LES PROC,MARTIN Yannis,CM,,ILSEN-CLA
2024-01-10T12:00:00Z,2024-01-10T13:30:00Z,Cours-5278-29-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 2 MANAGEMENT PAR LES PROC,"MARTIN Yannis, PUY CAZCARRA Emmanuel",Evaluation,,ILSEN-CLA
2023-09-14T11:00:00Z,2023-09-14T14:00:00Z,Cours-5302-12-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,CM,,ILSEN-CLA
2023-09-14T14:00:00Z,2023-09-14T17:00:00Z,Cours-5304-12-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,CM,,ILSEN-CLA
2023-10-12T14:00:00Z,2023-10-12T17:00:00Z,Cours-5335-16-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,TD,,ILSEN-CLA
2023-09-19T08:00:00Z,2023-09-19T11:00:00Z,Cours-5336-13-M1-ILSEN-cla-Gr1-Index-Education,S2 = C 040,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,TD,,ILSEN-CLA
2023-10-16T11:00:00Z,2023-10-16T14:00:00Z,Cours-5350-17-M1-ILSEN-cla-Gr1-Index-Education,S6 = C 022,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,TD,,ILSEN-CLA
2023-11-06T07:30:00Z,2023-11-06T10:30:00Z,Cours-5352-20-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,TD,,ILSEN-CLA
2023-10-19T11:00:00Z,2023-10-19T14:00:00Z,Cours-5401-17-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 4 APPLICATION DE MSI,MARTIN Yannis,TP,,ILSEN-CLA
2023-10-10T08:00:00Z,2023-10-10T11:00:00Z,Cours-5403-16-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 4 APPLICATION DE MSI,MARTIN Yannis,TP,,ILSEN-CLA
2023-09-13T14:00:00Z,2023-09-13T15:30:00Z,Cours-5407-12-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,CM,,ILSEN-CLA
