dtstart,dtend,uid,salle,Matiere,Enseignants,Type,Memo,Formation
2023-12-22T15:00:00Z,2023-12-22T18:00:00Z,Cours-33494-26-M1-IA-IL-CLA-Index-Education,Amphi Ada,UCE 2 INSERTION PROFESSIONNEL,BROCHARD Marc,TD,NE PAS DEPLACER,AI-CLA
2023-11-24T09:00:00Z,2023-11-24T12:00:00Z,Cours-33514-22-M1-IA-IL-CLA-Index-Education,"CERI, Stat 2 = Info - C 136, Stat 3 = Info - C 135",UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,AI-CLA
2023-12-01T09:00:00Z,2023-12-01T12:00:00Z,Cours-33514-23-M1-IA-IL-CLA-Index-Education,"Stat 1 = Info - C 137, Stat 2 = Info - C 136",UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,AI-CLA
2023-12-08T09:00:00Z,2023-12-08T12:00:00Z,Cours-33514-24-M1-IA-IL-CLA-Index-Education,"Stat 1 = Info - C 137, Stat 2 = Info - C 136",UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,AI-CLA
2023-10-17T14:00:00Z,2023-10-17T17:00:00Z,Cours-35391-17-M1-IA-IL-CLA-Index-Education,Amphi Blaise,UCE 2 MANAGEMENT PAR LES PROC,MARTIN Yannis,CM,,AI-CLA
2023-10-20T14:00:00Z,2023-10-20T15:30:00Z,Cours-36415-17-M1-IA-IL-CLA-Index-Education,S3 = C 036,UCE 4 TRAITEMENT AUTOMATIQUE,ROUVIER Mickael,CM,,AI-CLA
2023-09-19T12:30:00Z,2023-09-19T14:00:00Z,Cours-37212-13-M1-IA-IL-CLA-Index-Education,Amphi Blaise,UCE 2 PROGRAMMATION PARALLELE,ROUVIER Mickael,CM,,AI-CLA
2023-12-06T15:00:00Z,2023-12-06T16:30:00Z,Cours-37906-24-M1-IA-IL-CLA-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,AI-CLA
2023-09-13T12:30:00Z,2023-09-13T14:00:00Z,Cours-38377-12-M1-IA-IL-CLA-Index-Education,Amphi Ada,UCE 2 PROGRAMMATION PARALLELE,ROUVIER Mickael,CM,,AI-CLA
2023-10-10T06:30:00Z,2023-10-10T08:00:00Z,Cours-39641-16-M1-IA-IL-CLA-Index-Education,S6 = C 022,UCE 1 INTRODUCTION A L'INTELL,LEFEVRE Fabrice,CM,,AI-CLA
