dtstart,dtend,uid,location,Matiere,Enseignants,Type,Memo,Formation
2023-12-01T09:00:00Z,2023-12-01T12:00:00Z,Cours-33514-23-M1-ILSEN-cla-Gr1-Index-Education,"Stat 1 = Info - C 137, Stat 2 = Info - C 136",UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,ILSEN-CLA
2023-12-08T09:00:00Z,2023-12-08T12:00:00Z,Cours-33514-24-M1-ILSEN-cla-Gr1-Index-Education,"Stat 1 = Info - C 137, Stat 2 = Info - C 136",UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,ILSEN-CLA
2023-10-17T14:00:00Z,2023-10-17T17:00:00Z,Cours-35391-17-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 2 MANAGEMENT PAR LES PROC,MARTIN Yannis,CM,,ILSEN-CLA
2023-11-07T15:00:00Z,2023-11-07T18:00:00Z,Cours-35437-20-M1-ILSEN-cla-Gr1-Index-Education,Stat9 = Info - C 026,UCE 4 APPLICATION DE MSI,MARTIN Yannis,TP,,ILSEN-CLA
2023-10-20T06:30:00Z,2023-10-20T09:30:00Z,Cours-35448-17-M1-ILSEN-cla-Gr1-Index-Education,Stat 8 = Info - C 127,UCE 3 URBANISATION,LABRAK Yanis,TP,,ILSEN-CLA
2023-09-19T12:30:00Z,2023-09-19T14:00:00Z,Cours-37212-13-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 2 PROGRAMMATION PARALLELE,ROUVIER Mickael,CM,,ILSEN-CLA
2023-11-15T07:30:00Z,2023-11-15T10:30:00Z,Cours-37512-21-M1-ILSEN-cla-Gr1-Index-Education,Stat 8 = Info - C 127,UCE 4 APPLICATION DE MSI,MARTIN Yannis,TP,,ILSEN-CLA
2023-12-22T13:30:00Z,2023-12-22T15:00:00Z,Cours-37759-26-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-11-16T13:30:00Z,2023-11-16T15:00:00Z,Cours-37892-21-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-09-13T12:30:00Z,2023-09-13T14:00:00Z,Cours-38377-12-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 PROGRAMMATION PARALLELE,ROUVIER Mickael,CM,,ILSEN-CLA
2023-11-09T09:00:00Z,2023-11-09T12:00:00Z,Cours-39403-20-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 1 ARCHITECTURES CLOUD ET,PUY CAZCARRA Emmanuel,CM,,ILSEN-CLA
2023-12-13T07:30:00Z,2023-12-13T10:30:00Z,Cours-40483-25-M1-ILSEN-cla-Gr1-Index-Education,CISCO = C 133 reseaux,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,TP,,ILSEN-CLA
2023-12-04T13:30:00Z,2023-12-04T16:30:00Z,Cours-40486-24-M1-ILSEN-cla-Gr1-Index-Education,Stat 2 = Info - C 136,UCE 3 URBANISATION,LABRAK Yanis,TP,,ILSEN-CLA
2023-12-11T13:30:00Z,2023-12-11T16:30:00Z,Cours-40486-25-M1-ILSEN-cla-Gr1-Index-Education,Stat 2 = Info - C 136,UCE 3 URBANISATION,LABRAK Yanis,TP,,ILSEN-CLA
