dtstart,dtend,uid,salle,Matiere,Enseignants,Type,Memo,Formation
2024-02-01T16:30:00Z,2024-02-01T18:00:00Z,Cours-53339-32-M1-ILSEN-alt-GR1-Index-Education,S4 = C 034,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,CM,,ILSEN-ALT
2024-02-07T16:30:00Z,2024-02-07T18:00:00Z,Cours-53340-33-M1-ILSEN-alt-GR1-Index-Education,S4 = C 034,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,CM,,ILSEN-ALT
2024-02-08T07:30:00Z,2024-02-08T09:00:00Z,Cours-53341-33-M1-ILSEN-alt-GR1-Index-Education,S4 = C 034,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,CM,,ILSEN-ALT
2024-01-31T09:00:00Z,2024-01-31T12:00:00Z,Cours-53378-32-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 1 SERVEURS D'APPLICATION,DHAUSSY Timothee,TP,tp1,ILSEN-ALT
2024-02-07T09:00:00Z,2024-02-07T12:00:00Z,Cours-53379-33-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 1 SERVEURS D'APPLICATION,DHAUSSY Timothee,TP,tp5,ILSEN-ALT
2024-01-31T13:30:00Z,2024-01-31T16:30:00Z,Cours-53380-32-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 1 SERVEURS D'APPLICATION,DHAUSSY Timothee,TP,tp2,ILSEN-ALT
2024-02-07T13:30:00Z,2024-02-07T16:30:00Z,Cours-53381-33-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 1 SERVEURS D'APPLICATION,DHAUSSY Timothee,TP,tp6,ILSEN-ALT
2024-02-01T09:00:00Z,2024-02-01T12:00:00Z,Cours-53382-32-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 1 SERVEURS D'APPLICATION,DHAUSSY Timothee,TP,tp3,ILSEN-ALT
2024-02-01T13:30:00Z,2024-02-01T16:30:00Z,Cours-53384-32-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 1 SERVEURS D'APPLICATION,DHAUSSY Timothee,TP,tp4,ILSEN-ALT
2024-02-12T13:30:00Z,2024-02-12T16:30:00Z,Cours-53386-34-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 1 SERVEURS D'APPLICATION,DHAUSSY Timothee,TP,tp9,ILSEN-ALT
